Medicamentos,Descrição,Classificação,Fonte,-
Caduet,"Caduet - É indicado para pacientes que apresentam risco cardiovascular aumentado por hipertensão (aumento da pressão arterial) e/ou angina (angina crônica estável ou angina espástica) e dislipidemia (hipercolesterolemia heterozigótica familiar e não familiar, níveis elevados de triglicérides séricos, disbetalipoproteinemia primária, hipercolesterolemia familiar homozigótica); pacientes com risco cardiovascular aumentado devido à presença de doença das artérias coronárias com sintoma de angina; prevenção de complicações cardiovasculares em pacientes hipertensivos.","hipertensão, angina",https://www.bulario.com/,-
Baclofen,"Baclofen - Espasticidade dos músculos esqueléticos na esclerose múltipla. Estados espásticos nas mielopatias de origem infecciosa, degenerativa, traumática, neoplásica ou desconhecida, por exemplo: paralisia espinhal espasmódica, esclerose lateral amiotrófica, siringomielia, mielite transversa, paraplegia ou paraparesia traumática e compressão do cordão medular, espasmo muscular de origem cerebral, especialmente decorrente de paralisia cerebral infantil, assim como decorrentes de acidentes cerebrovasculares ou na presença de doença cerebral degenerativa ou neoplásica. Contraindicações",esclerose mútipla,https://www.bulario.com/,-
Abilify,"Abilify comprimidos de 5, 10, 15, 20 ou 30 mg é indicado no tratamento de esquizofrenia em adultos e adolescentes com mais de 15 anos.​ Além disso, estes comprimidos de ingestão oral, também podem ser utilizados no tratamento e prevenção de episódios maníacos na perturbação bipolar 1 em adultos e adolescentes com mais de 13 anos. Abilify comprimidos também pode ser encontrado na forma de comprimidos orodispersíveis que dissolvem na boca sem uso de água, sendo indicados para pacientes idosos, agitados ou com problemas para engolir.",esquizofrenia,https://www.bulario.com/,-
Jardiance,"Jardiance é indicado para o tratamento do diabetes mellitus tipo 2, em adultos.",diabetes,https://www.bulario.com/,-
Reconter,"Reconter PUBLICIDADE Indicação Para que serve? Indicado para prevenção e tratamento da depressão, pânico, ansiedade e transtorno obcessivo compulsivo.","depressão,ansiedade,transtorno obcessivo compulsivo",https://www.bulario.com/,-
Calcitran B12,"Calcitran B12 PUBLICIDADE Indicação Para que serve? Medicação recalcificante e tônica, empregada nas convalescenças, estados de desnutrição, nos períodos de crescimento, gravidez e lactação e na profilaxia da cárie dentária.","profilaxia da cárie dentária, suplemento vitamínico",https://www.bulario.com/,-
Cambendazol,"Cambendazol-É indicado no tratamento de infecções por parasitas, principalmente da infecção intestinal chamada estrongiloidíase causada pelo parasita Strongyloides stercoralis.",infecção intestinal,https://www.bulario.com/,-
quitosana,"A quitosana é indicada no auxilio da redução da absorção de gordura e colesterol presentes no processo digestivo, impedindo que sejam processadas pelo corpo.
A quitosana é um alimento funcional natural, derivado da casca de crustáceos.",colesterol,https://www.bulario.com/,-
Xeljanz,"Xeljanz é indicado para o tratamento da artrite reumatoide ativa moderada a grave, em pacientes adultos que apresentaram resposta inadequada a outros tratamentos.",artrite reumatoide,https://www.bulario.com/,-
Alginac 1000,"Alginac 1000 é indicado para o tratamento de lombalgias, cervicalgias, braquialgias, radiculite, neuropatias periféricas, neuralgias faciais, neuralgia do trigêmeo, neuralgia intercostal, neuralgia herpética, neuropatia alcoólica, neuropatia diabética, síndrome do conduto do carpo, fibromialgia e no tratamento da espondilite, em adultos.","neuralgia, radiculite, lombalgias",https://www.bulario.com/,-
Rivotril gotas,"Rivotril gotas, sublingual ou comprimidos é indicado no tratamento de crises epilépticas, espasmos infantis, transtornos de ansiedade e de humor, síndromes psicóticas, síndrome das pernas inquietas e da boca ardente e no tratamento de vertigens e distúrbios do equilíbrio, em adultos e crianças.","epilepcia, ansiedade, síndrome psicóticas",https://www.bulario.com/,-
Água Inglesa,A Água Inglesa é um tônico fitoterápico indicado para ajudar na digestão e estimular o apetite.,"ajudar na digestão, aumentar apetite",https://www.bulario.com/,-
Azulfin,Gastroenterologia: Azulfin é indicado no tratamento da retocolite ulcerativa inespecífica; colite ulcerativa média ou moderada; como terapia adjuvante na colite ulcerativa severa; doença de Crohn.Reumatologia: Azulfin é indicado no tratamento da artrite reumatóide e da espondilite anquilosante. Azulfin em comprimidos revestidos gastrorresistentes é indicado particularmente aos pacientes que não podem tomar comprimidos simples devido à intolerância gastrintestinal.,"úlceras,artrite reumatóide",https://www.bulario.com/,-
Azukon MR,"O Azukon MR é um medicamento que reduz os níveis sanguíneos de açúcar, sendo por isso destinado ao tratamento de diabetes tipo 2, que é um tipo de diabetes no qual a pessoa não necessita fazer uso de insulina, diabetes em pessoas obesas, diabetes em idosos e diabetes em pessoas com complicações vasculares.",diabetes,https://www.bulario.com/,-
Azox,"O Azox tem na sua composição nitazoxanida, que é indicado para tratamento de gastroenterites virais provocadas por rotavírus e norovírus, helmintíases provocadas por Enterobius vermicularis, Ascaris lumbricoides, Strongyloides stercolaris, Ancylostoma duodenale, Necator americanus, Trichuris trichiura, Taenia sp e Hymenolepis nana, amebíase, para tratamento da diarreia por amebíase intestinal aguda ou disenteria amebiana causada pelo complexo Entamoeba histolytica/díspar, giardíase, para tratamento da diarreia causada por Giardia lamblia ou Giardia intestinalis, criptosporidíase, para tratamento da diarreia causada por Cryptosporidium parvum, blastocistose, balantidíase e isosporíase, causadas, respectivamente, por Blastocistis hominis, Balantidium coli e Isospora belli.",gastroenterites virais,https://www.bulario.com/,-
Azimix,"Azimix comprimido de 250 ou 500 mg é indicado no tratamento das infecções das vias aéreas, como, otite média, sinusite, rinite, amigdalite, laringite, bronquite, broncopneumonia e pneumonia.Além disso, também pode ser utilizado para tratar doenças sexualmente transmissíveis e infecções da pele, como furúnculos, flegmões ou úlceras infectadas, por exemplo.","infecção de pele, infecções das vias aéreas, pneumonia, rinite, sinusite",https://www.bulario.com/,-
Azimed,"Azimed é indicado em infecções causadas por organismos suscetíveis em infecções no trato respiratório inferior incluindo bronquite e pneumonia, infecções da pele e tecidos moles, em otite média e infecções do trato respiratório superior incluindo sinusite e faringite/tonsilite.","infecções de pele, infecções respiratórias",https://www.bulario.com/,-
butazona cálcica,"A butazona cálcica é indicada para o tratamento dos episódios de espondilite anquilosante, que são inflamações das articulações da coluna e do quadril, e dos episódios agudos de gota e pseudogota.Quando outros anti-inflamatórios não hormonais não forem efetivos, este remédio pode ser usado para o tratamento de casos de piora aguda de artrite reumatoide, artrose e reumatismo extra-articular.","inflamações na coluna, atrite, atrose, reumatismo, gota",https://www.bulario.com/,-
Busonid,"O Busonid é indicado para o tratamento profilático de moléstias do aparelho respiratório que tenham atividade inflamatória como base fisiopatológica, tais como a asma brônquica, produzindo alívio dos sintomas e prevenção da deterioração da função pulmonar.",asma brônquica,https://www.bulario.com/,-
Buscopan,"Buscopan drágeas ou gotas é indicado para o alivio de dores, cólicas e desconforto abdominal, no tratamento de contrações e cólicas do estômago, do intestino, das vias biliares, urinárias e do aparelho genital feminino, em crianças e adultos.","dores,cólica,desconforto abdominal",https://www.bulario.com/,-
Buclivit,Buclivit - Estimulante do apetite,Estimulante do apetite,https://www.bulario.com/,-
Propranolol,"O Propranolol é indicado na angina pectoris crônica, profilaxia e tratamento de arritmias cardíacas, hipertensão, profilaxia do reinfarto do miocárdio, controle de angina, palpitações e síncope associado com estenose subaórtica hipertrofical, tratamento de tremores, adjuvante no tratamento de feocromocitoma, adjuvante no tratamento de tireotoxicose; tratamento de prolapso de válvula mitral, tratamento de acatisia, profilaxia da enxaqueca, adjuvante no tratamento de ansiedade, menopausa e anestesia, para controlar a taquicardia do seio carotídeo e extra-sístoles ventriculares frequentes.","hipertensão, angina, ansiedade, arritmia cardíaca, enxaqueca",https://www.bulario.com/,-
Artrodar,Artrodar - A diacereína é indicada no tratamento sintomático da osteoartrose (artrose e afecções articulares do tipo degenerativo).,osteoartrose,https://www.bulario.com/,-
Artrolive,"Artrolive é indicado para osteoartrite, osteoartrose ou artrose em todas as suas manifestações.","osteoartrose, artrose",https://www.bulario.com/,-
Artrosil,"Artrosil é indicado no tratamento da artrose, coxartrose, espondiloartrose, artrite reumatoide, bursite, flebite, tromboflebite, contusão, entorse, luxação ou distensão muscular, em adultos.","artrose, coxartrose, espondiloartrose, artrite reumatoide, bursite, flebite, tromboflebite, contusão, entorse, luxação",https://www.bulario.com/,-
Asalit,O Asalit é utilizado no tratamento das doenças inflamatórias intestinais.,inflamação intestinal,https://www.bulario.com/,-
Asmapen,"Asmapen comprimidos-Indicado para tratamento de asma brônquica, bronquite crônica e enfisema. Asmapen também é indicado para o tratamento da respiração de Cheyne-Stokes, em adultos e crianças com mais de 6 meses de idade.","asma brônquica, bronquite crônica e enfisema",https://www.bulario.com/,-
Asmax,"Asmax (Cetotifeno) está indicado na profilaxia da: asma brônquica, das bronquites, das rinites e das dermatites alérgicas.Asmax (Cetotifeno) não é eficaz para tratamento de crises asmáticas e processos alérgicos já estabelecidos.","asma brônquica, bronquites, rinites,dermatites alérgicas",https://www.bulario.com/,-
Asmofen,"Asmofen gotas ou xarope é indicado para prevenção da asma brônquica, bronquite alérgica, sintomas asmáticos associados à febre do feno e no tratamento e prevenção de desordens alérgicas como urticária, dermatite, rinite alérgica e conjuntivite, em adultos e crianças.","asma brônquica, bronquite,urticária, dermatite, rinite alérgica, conjuntivite",https://www.bulario.com/,-
Aspirina,"Indicado para aliviar vários tipos de dor, como dor de cabeça, dor de dente, dor de garganta, dor menstrual, dor muscular, dor nas articulações, dor nas costas ou dor da artrite.Além disso, também pode ser usada para aliviar os sintomas associados a febre nos resfriados e gripe.","dor de cabeça, dor de dente, dor de garganta, dor menstrual, dor muscular, dor nas articulações, dor nas costas, dor da artrite, febre, gripe e resfriados",https://www.bulario.com/,-
Aspirina C," Aspirina C efervescente é um analgésico (dores leves e moderadas) e antitérmico indicado para:o alívio sintomático da dor de cabeça, dor de dente, dor causada por inflamação da garganta, dor muscular, dor articular e dor nas costas (lombalgia);o alívio sintomático da dor e da febre causadas por gripes e resfriados.","dor de cabeça, dor de dente, dor causada por inflamação da garganta, dor muscular, dor articular e dor nas costas,  febre",https://www.bulario.com/,-
Atenol,Atenol-Controle da hipertensão arterial; controle da angina pectoris; controle de arritmias cardíacas; tratamento do infarto do miocárdio.,"hipertensão arterial, controle da angina pectoris, controle de arritmias cardíacas, tratamento do infarto do miocárdio.",https://www.bulario.com/,-
Atens,"O Atens é usado no tratamento de todos os graus de hipertensão essencial e na hipertensão renovascular.Além disso, também pode ser usado na insuficiência cardíaca congestiva, como terapia coadjuvante.","insuficiência cardíaca,hipertensão",https://www.bulario.com/,-
bacrocin,"Bacrocin creme é indicado para o tratamento de infecções de pele causadas por germes sensíveis à mupirocina, agente antibacteriano que atua sobre bactérias gram-positivas e algumas bactérias gram-negativas.",infecção de pele ,https://www.bulario.com/,-
Bactrim ,"O Bactrim é indicado para o tratamento de infecções respiratórias, urinárias, gastrintestinais e outros tipos de infecções.",infecção,https://www.bulario.com/,-
Bactropin ,"O Bactropin é um antibiótico indicado para pneumonia, bronquite, otite média aguda, enterocolite, diarreia de viajante, infecções do trato urinário e biliar, endocardite bacteriana, infecções ósseas ou articulares, infecções de pele e tecidos moles e sinusite.é indicado para o tratamento de infecções respiratórias, urinárias, gastrintestinais e outros tipos de infecções.","pneumonia, bronquite, otite média aguda, enterocolite, diarreia de viajante, infecções do trato urinário e biliar, endocardite bacteriana, infecções ósseas ou articulares, infecções de pele e tecidos moles e sinusite",https://www.bulario.com/,-
Bambair,"Indicado para asma brônquica, bronquite crônica, enfisema e outras doenças do pulmão que causa contração dos músculos dos brônquios e que leva a dificuldade em respirar.","asma brônquica, bronquite",https://www.bulario.com/,-
Collestra,"Indicado para reduzir a absorção do colesterol e para ajudar a manter a saúde do coração, em adultos. É um suplemento natural que auxilia no tratamento do colesterol, mas deve ser tomado só por aconselhamento médico.",colesterol,https://www.bulario.com/,-
Colzen ,"Colzen é um curativo biológico, cicatrizante e antimicrobiano indicado para o controle de hemorragias em feridas, tratamento de feridas infectadas ou de feridas em que exista um aumento do risco de infecção e para úlceras crônicas como úlceras de pressão, úlceras de perna, queimaduras, locais receptores de enxerto, feridas do Pé Diabético, feridas traumáticas e cirúrgicas. Além disso, Colzen é também indicado para todas as fases de cicatrização das feridas.","hemorragias em feridas, tratamento de feridas infectadas ou de feridas em que exista um aumento do risco de infecção e para úlceras crônicas ",https://www.bulario.com/,-
Colpistatin ,O Colpistatin é um creme vaginal indicado para o tratamento de vaginoses bacterianas e infecções causadas porTrichomonas vaginalis e Candida albicans.,vaginoses bacterianas,https://www.bulario.com/,-
Concor,"Indicado para tratar insuficiência cardíaca crônica, angina de peito e pressão arterial alta.","insuficiência cardíaca crônica, angina de peito e hipertensão.",https://www.bulario.com/,-
Complexo B,"Indicado para tratar Hipovitaminose do complexo B, coadjuvante da terapêutica antibacteriana, convalescença. Dieta de ulcerosos e diabéticos. Estomatite, glossite, distúrbios gastrintestinais, colite, doença celíaca, esteatorréia, espru, alcoolismo crônico.","Hipovitaminose do complexo B, coadjuvante da terapêutica antibacteriana, convalescença. Dieta de ulcerosos e diabéticos. Estomatite, glossite, distúrbios gastrintestinais, colite, doença celíaca, esteatorréia, espru, alcoolismo crônico.",https://www.bulario.com/,-
Condroflex , O Condroflex é indicado no tratamento de artrose ou osteoartrite primária e secundária e suas manifestações., artrose ou osteoartrite,https://www.bulario.com/,-
Coristina D ,"Coristina D em comprimidos é indicada para o tratamento dos sintomas de gripe e resfriado comuns como febre, nariz entupido, coriza, dores de cabeça e de corpo, em adultos e crianças com mais de 6 anos de idade."," gripe e resfriado, dor de cabeça",https://www.bulario.com/,-
Cycrin,"Cycrin* é indicado para o tratamento de: 1. Terapia de reposição hormonal na menopausa, como adjunto à terapia de reposição estrogênica; 2.Amenorréia secundária; 3. Sangramento uterino anormal devido a um desequilíbrio hormonal, na ausência de patologias orgânicas como fibróides ou câncer uterino.","Terapia de reposição hormonal na menopausa,Sangramento uterino anormal devido a um desequilíbrio hormonal",https://www.bulario.com/,-
Danilon,"Cycrin* é indicado para o tratamento de: 1. Terapia de reposição hormonal na menopausa, como adjunto à terapia de reposição estrogênica; 2.Amenorréia secundária; 3. Como antiinflamatório e analgésico no tratamento de processos reumáticos subagudos e crônicos. Artrites e poliartrites agudas e crônicas. Artrite reumatóide, osteoartroses, gota e radiculite. Nos processos inflamatórios pré e pós-operatórios; em ginecologia (dismenorréias), urologia, traumatologia, proctologia, oftalmologia e odontologia., na ausência de patologias orgânicas como fibróides ou câncer uterino.","Artrite reumatóide, osteoartroses, gota e radiculite",https://www.bulario.com/,-
Daraprim ,"Daraprim é indicado na prevenção e tratamento da malária e no tratamento da toxoplasmose congênita ou adquirida, em adultos e crianças.",malária e no tratamento da toxoplasmose,https://www.bulario.com/,-
Decadron ,"Decadron em comprimidos ou elixir é indicado para o tratamento dos sintomas de doenças como do reumatismo e artrite, doenças de pele, nos olhos, glandulares, nos pulmões, no sangue e no estômago e intestinos, em adultos e crianças.","reumatismo e artrite, doenças de pele, nos olhos, glandulares, nos pulmões, no sangue e no estômago e intestinos",https://www.bulario.com/,-
Deflazacort ,"Deflazacort é um glicocorticóide de uso oral no tratamento das patologias onde um glicocorticóide de uso oral esteja indicado, tais como:Reumatologia: artrite reumatóide, lupus eritematoso sistêmico, polimiosite, dermatomiosite, polimialgia reumática, vasculites; Dermatologia: pênfigo foliáceo, eczema de contato, urticária, dermatite seborréica, eritema polimorfo;Pneumologia: asma brônquica aguda, broncopneumopatia obstrutiva crônica, sarcoidose e fibrose pulmonar difusa; Nefrologia: síndrome nefrótica e glomerulonefrite secundária; Hematologia: leucemia aguda, linfoma de Hodgkin e não Hodgkin, púrpura trombocitopênica idiopática, leucemia linfática crônica e anemia hemolítica; Endocrinologia: síndrome de Addison e tireoidite basedowiana (oftalmopatia).","artrite reumatóide, lupus eritematoso sistêmico, polimiosite, dermatomiosite, polimialgia reumática, vasculites,dermatite seborréica",https://www.bulario.com/,-
Deocil,"O Deocil sublingual está indicado para o controle da dor aguda de intensidade moderada a intensa, que necessite de potência para combatê-la equivalente à de um opioide, como ocorre nos pós-operatórios, pós-parto, cirurgias menores, cólica renal, dor lombar, cólica biliar, entre outros.Este medicamento não está indicado para a dor crônica.","dor, cólica, dor pós cirurgia",https://www.bulario.com/,-
Deprozol,Amebíase intestinal sob todas as formas; amebíase hepática; giardíase; tricomoníase.,amebíase ,https://www.bulario.com/,-
Dieloft ,"Dieloft é indicado para o tratamento da depressão acompanhada por sintomas de ansiedade, do Transtorno Obsessivo Compulsivo em adultos e crianças, do Transtorno do Pânico, do Transtorno do Estresse Pós-Traumático, da Fobia Social ou Transtorno da Ansiedade Social e da Síndrome da Tensão Pré-Menstrual e/ou Transtorno Disfórico Pré-Menstrual.","depressão acompanhada por sintomas de ansiedade, do Transtorno Obsessivo Compulsivo em adultos e crianças, do Transtorno do Pânico, do Transtorno do Estresse Pós-Traumático, da Fobia Social ou Transtorno da Ansiedade Social e da Síndrome da Tensão Pré-Menstrual e/ou Transtorno Disfórico Pré-Menstrual.",https://www.bulario.com/,-
Digoxina ,"A Digoxina é indicada no tratamento da insuficiência cardíaca congestiva, e de certas arritmias cardíacas.","insuficiência cardíaca,arritimia cardíaca",https://www.bulario.com/,-
Diprosalic,"Indicado para o alívio da inflamação e da coceira nas doenças de pele crônicas como: psoríase, dermatite atópica crônica, neurodermatite, líquen plano, eczema numular, eczema da mão e dermatite eczematosa, disidrose, dermatite seborréica do couro cabeludo, ictiose vulgar e outras condições que apresentam ressecamento e espessamento importantes da pele.",alívio da inflamação e da coceira nas doenças de pele,https://www.bulario.com/,-
Dobtan,"O Cloridrato de Dobutamina é indicado quando for necessário suporte inotrópico para o tratamento de pacientes em estado de hipoperfusão e naqueles em que o débito cardíaco é insuficiente para suprir a demanda circulatória. O Cloridrato de Dobutamina é também indicada quando for necessário suporte inotrópico para o tratamento de pacientes, nos quais a pressão de enchimento ventricular anormalmente elevada ocasiona o risco de congestão pulmonar e edema.Cloridrato de Dobutamina pode ser usado como um substituto aos exercícios físicos nos testes de estresse no diagnóstico de doença coronariana. Quando é usado com este propósito, como no caso de exercícios nos testes de estresse, o paciente deve ser informado dos riscos potenciais envolvidos no teste. Além disso, os pacientes devem ser cuidadosamente monitorados., como nos exercícios dos testes de estresse, incluindo exames eletrocardiográficos contínuos.",hipoperfusão e naqueles em que o débito cardíaco é insuficiente para suprir a demanda circulatória. ,https://www.bulario.com/,-
Donaren,"O Donaren é um medicamento indicado no tratamento da depressão mental com ou sem episódios de ansiedade e da depressão maior.Além disso, pode também ser usado no tratamento da dor associada à neuropatia diabética e outros tipos de dores crônicas.","ansiedade, depressão",https://www.bulario.com/,-
Ebix ,O Ebix é um medicamento indicado para o tratamento de Alzheimer moderada a grave.,Alzheimer ,https://www.bulario.com/,-
Eliquis ,"Eliquis é indicado para prevenção e redução do risco de formação de coágulos sanguíneos dentro dos vasos, no tratamento da trombose venosa, embolia pulmonar ou embolia sistêmica. Além disso, Eliquis é também indicado para reduzir o risco de derrame cerebral.","trombose venosa, embolia pulmonar ou embolia sistêmica",https://www.bulario.com/,-
EPÉZ ,EPÉZ é um medicamento indicado para o tratamento da doença de Alzheimer.,Alzheimer ,https://www.bulario.com/,-
Epiduo , Epiduo gel é indicado para o tratamento de cravos e acne vulgar.indicado para o tratamento da doença de Alzheimer.,acne,https://www.bulario.com/,-
Estazolam ," Estazolam é indicado para a insônia, no tratamento da dificuldade em adormecer e do acordar durante a noite ou antes da hora planejada, em adultos.gel é indicado para o tratamento de cravos e acne vulgar.indicado para o tratamento da doença de Alzheimer.","insônia, acne, Alzheimer",https://www.bulario.com/,-
Euforin,"Na fadiga física e mental. Adjuvante no tratamento dos estados patológicos complicados de hiperamoniemia, cirroses e insuficiências hepáticas, hepatite por vírus. Queimaduras graves. Infecções graves."," insuficiências hepáticas, hepatite por vírus. Queimaduras graves. Infecções graves, fadiga",https://www.bulario.com/,-
Exodus ,"O Exodus é um medicamento usado no tratamento e prevenção da recaída ou recorrência da depressão, tratamento do transtorno do pânico, com ou sem agorafobia, tratamento do transtorno de ansiedade generalizada, de ansiedade social e obsessivo compulsivo.","depressão, tratamento do transtorno do pânico, com ou sem agorafobia, tratamento do transtorno de ansiedade generalizada, de ansiedade social e obsessivo compulsivo.",https://www.bulario.com/,-
Eylia ,"Eylia é indicado para o tratamento de degeneração macular relacionada à idade, neovascular (DMRI) (úmida).","degeneração macular relacionada à idade, neovascular",https://www.bulario.com/,-
Evra, Evra* é indicado como contraceptivo feminino. (DMRI) (úmida).,anticoncepcional,https://www.bulario.com/,-
Fampridina ,"Fampridina é indicada para o tratamento da dificuldade em andar associada à esclerose múltipla, em adultos.",esclerose múltipla,https://www.bulario.com/,-
Fampridina ,"Fampridina é indicada para o tratamento da dificuldade em andar associada à Firmagon 120 mg ou 80 mg é indicado no tratamento do câncer da próstata dependente de hormônios, em homens adultos., em adultos.","Firmagon, câncer de prostata",https://www.bulario.com/,-
Flaxin,"Tratamento e controle da hiperplasia prostática benigna (HPB), de forma a provocar a regressão da próstata aumentada, e melhorar o fluxo urinário e os sintomas associados a HPB.",hiperplasia prostática benigna ,https://www.bulario.com/,-
Fitoscar,"Fitoscar é uma pomada cicatrizante indicada o tratamento de diferentes tipos de feridas, em adultos.",pomada cicatrizante,https://www.bulario.com/,-
Flagyl,"Este medicamento está indicado no tratamento de giardíase, amebíase, tricomoníase, vaginites por Gardnerella vaginalis e infecções causadas por bactérias anaeróbias, como Bacteroides fragilis e outros bacteróides, Fusobacterium sp, Clostridium sp, Eubacterium sp e cocos anaeróbios.","giardíase, amebíase, tricomoníase, vaginites por Gardnerella vaginalis e infecções causadas por bactérias anaeróbias",https://www.bulario.com/,-
Floratil,"Floratil pediátrico ou cápsulas é indicado para restaurar a flora intestinal e para ajudar no tratamento da diarreias com diferentes causas, em adultos e crianças.", diarreias,https://www.bulario.com/,-
Fonergin,"Anginas, faringites, amigdalites, laringites por germes banais, gengivites, pulpites, estomatites (aftas bucais).","Anginas, faringites, amigdalites, laringites por germes banais, gengivites, pulpites, estomatites (aftas bucais).",https://www.bulario.com/,-
Forxiga,"Forxiga é indicado para a diabetes mellitus tipo 2, para ajudar a diminuir a quantidade de açúcar no sangue, em adultos com mais de 18 anos de idade",diabetes,https://www.bulario.com/,-
Fulcin,"Indicado para infeções por fungos na pele, couro cabeludo, pé de atleta e unhas.","Indicado para infeções por fungos na pele, couro cabeludo, pé de atleta e unhas.",https://www.bulario.com/,-
